text_input,action_idx
comfort me,10
i'm crying,10
bring positivity,16
walk straight,2
calm me down,17
you can do it,14
good morning,0
lift my mood,16
talk to you later,9
keep going,14
forgive me,11
walk straight,2
take a left turn,3
i am angry,5
i need inspiration,8
move forward,2
what is your name,7
heartbroken,5
who are you,7
how old are you,7
what about you,12
guide me,15
i'm lonely,10
give me advice,15
talk to you later,9
cheer me up,8
good morning,0
motivate me,8
my mistake,11
i'm crying,10
can you help me,6
advance,2
talk to you later,9
go ahead,2
i'm feeling low,16
right side,4
what's up,0
tell me the problem,1
good evening,0
what about you,12
move forward,2
say something nice,16
see you later,9
your opinion?,12
your opinion?,12
keep going,14
i need inspiration,8
what should i do,15
hey,0
go ahead,2
goodbye,9
assist me,6
goodbye,9
take a left turn,3
where do you live,7
take a right turn,4
how old are you,7
i'm stressed,5
what's up,0
bring positivity,16
you can do it,14
everything will be fine?,17
what is your name,7
right side,4
i'm stressed,5
something funny,13
keep going,14
how old are you,7
i need assistance,6
right side,4
crack a joke,13
tell me the problem,1
give me advice,15
i'm lonely,10
move forward,2
turn left,3
goodbye,9
what about you,12
talk to you later,9
see you later,9
i'm stressed,5
can you help me,6
i'm sorry,11
i need inspiration,8
tell me the problem,1
guide me,15
lift my mood,16
where do you live,7
take a left turn,3
what is happening,1
turn left,3
cheer me up,8
where do you live,7
believe in yourself,14
walk straight,2
i'm crying,10
yo,0
motivate me,8
your opinion?,12
i am angry,5
goodbye,9
tell me it’s okay,17
i'm feeling low,16
heartbroken,5
give me advice,15
what about you,12
where do you live,7
you can do it,14
can you help me,6
heartbroken,5
take a right turn,4
your thoughts?,12
where do you live,7
tell me it’s okay,17
cheer me up,8
turn right,4
turn left,3
reassure me,17
don't give up,14
what about you,12
tell me a joke,13
believe in yourself,14
make me laugh,13
feeling down,5
motivate me,8
left side,3
i'm lonely,10
what's up,0
tell me a joke,13
reassure me,17
i need assistance,6
don't give up,14
crack a joke,13
what is happening,1
good morning,0
any tips,15
say something nice,16
why is this happening,1
what is happening,1
make me laugh,13
can you help me,6
calm me down,17
good evening,0
advance,2
i'm lonely,10
tell me it’s okay,17
go ahead,2
cheer me up,8
tell me it’s okay,17
what is happening,1
farewell,9
see you later,9
i'm stressed,5
good evening,0
move forward,2
make me laugh,13
assist me,6
turn right,4
i am angry,5
i apologize,11
why is this happening,1
everything will be fine?,17
assist me,6
feeling down,5
crack a joke,13
everything will be fine?,17
tell me it’s okay,17
what should i do,15
advance,2
advance,2
bring positivity,16
believe in yourself,14
i'm crying,10
feeling down,5
analyze the situation,1
comfort me,10
hi there,0
tell me it’s okay,17
left side,3
comfort me,10
my mistake,11
tell me the problem,1
turn right,4
talk to you later,9
give me advice,15
assist me,6
how old are you,7
bring positivity,16
make me laugh,13
left side,3
i need help,6
say something nice,16
tell me the problem,1
what about you,12
i'm sorry,11
don't give up,14
something funny,13
analyze the situation,1
farewell,9
good morning,0
what should i do,15
lift my mood,16
any tips,15
assist me,6
i'm feeling low,16
move forward,2
how old are you,7
how about yourself,12
you can do it,14
motivate me,8
reassure me,17
farewell,9
i feel sad,5
i apologize,11
i'm feeling low,16
tell me a joke,13
i'm feeling low,16
move forward,2
right side,4
what about you,12
i feel sad,5
take a right turn,4
tell me a joke,13
can you help me,6
don't give up,14
left side,3
take a right turn,4
motivate me,8
hey,0
how about yourself,12
right side,4
turn left,3
good evening,0
tell me a joke,13
motivate me,8
take a left turn,3
what is your name,7
walk straight,2
take a right turn,4
any tips,15
any tips,15
i'm crying,10
say something nice,16
keep going,14
how old are you,7
reassure me,17
i feel sad,5
what about you,12
reassure me,17
good evening,0
i'm crying,10
guide me,15
i'm lonely,10
where do you live,7
motivate me,8
what is happening,1
make me laugh,13
take a right turn,4
how about yourself,12
make me laugh,13
believe in yourself,14
give me advice,15
take a right turn,4
what is your name,7
tell me a joke,13
where do you live,7
any tips,15
your opinion?,12
see you later,9
advance,2
left side,3
i need inspiration,8
you can do it,14
take a left turn,3
motivate me,8
lift my mood,16
tell me it’s okay,17
left side,3
walk straight,2
guide me,15
what about you,12
any tips,15
i am angry,5
turn right,4
feeling down,5
how old are you,7
something funny,13
calm me down,17
what's up,0
i need help,6
goodbye,9
something funny,13
guide me,15
take a left turn,3
i'm crying,10
turn right,4
heartbroken,5
yo,0
any tips,15
right side,4
everything will be fine?,17
tell me the problem,1
take a left turn,3
don't give up,14
what is your name,7
how about yourself,12
advance,2
advance,2
where do you live,7
advance,2
how old are you,7
move forward,2
farewell,9
i need assistance,6
feeling down,5
left side,3
guide me,15
my mistake,11
see you later,9
advance,2
heartbroken,5
assist me,6
bring positivity,16
make me laugh,13
i feel lost,10
what's up,0
tell me the problem,1
advance,2
where do you live,7
analyze the situation,1
heartbroken,5
hi there,0
assist me,6
feeling down,5
see you later,9
believe in yourself,14
i need help,6
take a left turn,3
analyze the situation,1
analyze the situation,1
i feel lost,10
tell me a joke,13
push me forward,8
lift my mood,16
who are you,7
left side,3
left side,3
hi there,0
don't give up,14
i need help,6
reassure me,17
turn right,4
left side,3
good morning,0
cheer me up,8
i'm sorry,11
advance,2
say something nice,16
i feel sad,5
motivate me,8
lift my mood,16
i need assistance,6
goodbye,9
reassure me,17
hi there,0
tell me it’s okay,17
walk straight,2
make me laugh,13
everything will be fine?,17
i am angry,5
good morning,0
i'm lonely,10
talk to you later,9
heartbroken,5
cheer me up,8
i'm crying,10
turn left,3
what should i do,15
heartbroken,5
why is this happening,1
assist me,6
reassure me,17
something funny,13
i feel lost,10
crack a joke,13
my mistake,11
i need inspiration,8
take a left turn,3
i apologize,11
right side,4
i'm crying,10
turn right,4
hiya,0
what should i do,15
advance,2
tell me the problem,1
tell me the problem,1
i feel lost,10
any tips,15
turn right,4
how old are you,7
